cue_type,soa,pc
valid,100,0.841379310344828
valid,100,0.888
valid,100,0.808695652173913
valid,100,0.901639344262295
valid,100,0.862244897959184
valid,100,0.836734693877551
valid,100,0.765217391304348
valid,100,0.703703703703704
valid,490,0.75
valid,490,0.889763779527559
valid,490,0.833333333333333
valid,490,0.896907216494845
valid,490,0.818791946308725
valid,490,0.787234042553192
valid,490,0.712121212121212
valid,490,0.743119266055046
neutral,100,0.755555555555556
neutral,100,0.813725490196078
neutral,100,0.767605633802817
neutral,100,0.858585858585859
neutral,100,0.861904761904762
neutral,100,0.736434108527132
neutral,100,0.790540540540541
neutral,100,0.736363636363636
neutral,490,0.757575757575758
neutral,490,0.932885906040268
neutral,490,0.787610619469027
neutral,490,0.91640866873065
neutral,490,0.836734693877551
neutral,490,0.803738317757009
neutral,490,0.6875
neutral,490,0.740157480314961
invalid,100,0.717557251908397
invalid,100,0.840425531914894
invalid,100,0.761904761904762
invalid,100,0.773255813953488
invalid,100,0.819047619047619
invalid,100,0.757575757575758
invalid,100,0.76056338028169
invalid,100,0.648648648648649
invalid,490,0.8
invalid,490,0.918518518518519
invalid,490,0.81
invalid,490,0.883977900552486
invalid,490,0.865248226950355
invalid,490,0.77
invalid,490,0.75
invalid,490,0.689075630252101
